"25/6/15, 1:42:12 AM: James: created this group"
"25/6/15, 1:42:12 AM: Anna: were added"
"25/6/15, 1:42:12 AM: Anna: hi"
"18/12/16, 1:57:38 AM: Ben:You need to do this"
"18/12/16, 1:57:38 AM: Ben:<Media omitted>"
"21/12/16, 9:54:46 PM: Anna John: Good Morning"
"21/12/16, 9:57:45 PM: Ben: Wow"
"21/12/16, 9:57:45 PM: Ben: <Media omitted>"
"21/12/16, 10:48:51 PM: Sakshi: Hai how are"
"21/12/16, 10:49:00 PM: Sakshi: So good to see you"
"21/12/16, 10:50:12 PM:  Emma: Super"
"21/12/16, 10:51:21 PM: Sakshi: So amazing"
"21/12/16, 10:57:01 PM: Pole:<Media omitted>"
"21/12/16, 11:28:51 PM: James: Waste out of wealth"
"21/12/16, 11:48:42 PM: Alan: Fancy dress competition"
"22/12/16, 12:08:04 AM: Theresa:Is it true"
"22/12/16, 12:24:00 AM: Messages you send to this group are now secured with end-to-end encryption."
"22/12/16, 12:25:02 AM: Jack: it is above super"
"22/12/16, 12:36:54 AM: Sakshi: We were divided into four groups..Each group had to use newspapers only for dressing up one of their team members"
"22/12/16, 6:27:38 AM: Emily: So be it"
"22/12/16, 12:10:31 PM: Theresa: world's most dangerous proposal.. Must watch"
"22/12/16, 12:10:45 PM: Theresa: Such a lovely dear"
"22/12/16, 12:40:48 PM: Ben:<Media omitted>"
"22/12/16, 2:58:09 PM: Emily: To Moscow girls he was such a good person"
"24/12/16, 7:53:38 PM: Emily: Moreover it was a wonderful day"
"25/12/16, 2:55:14 AM: Anna John: Merry Christmas"
"25/12/16, 7:59:17 AM: Emily: So true and amazing"
"1/1/17, 2:34:15 AM: Ben: Happy new year everyone! Hope new year brings happiness,success and good luck! God bless"
"1/1/17, 2:34:59 AM: Rose: Happy new year everyone"
"1/1/17, 2:37:05 AM: Pole: Happy new year to everyone"
"1/1/17, 2:37:27 AM: Jack: Happy new year!"
"1/1/17, 2:37:32 AM: James: Hey all"
"1/1/17, 2:37:47 AM: James: Wish you all good luck for new year"
"1/1/17, 2:39:48 AM: Anna John: Happy new year!"
"1/1/17, 2:40:03 AM:  Emma: Happy new year"
"1/1/17, 2:40:12 AM: Hazel: Happy new year all"
"1/1/17, 2:43:10 AM: Theresa: Happy new yr"
"1/1/17, 2:44:00 AM: Mary: Happy new Year ! Have fun and be safe"
"1/1/17, 2:59:53 AM: Alan: Happy new Year"
"1/1/17, 3:00:06 AM: Alan: Must be a great surprise for you"
"1/1/17, 3:22:17 AM:  Mathew: happy new year."
"1/1/17, 3:22:19 AM:  Mathew:   Mine was too long"
"1/1/17, 3:22:19 AM:  Mathew: Pretty cool right"
"1/1/17, 6:54:40 AM: Emily: Such a good whether"
"1/1/17, 11:19:30 AM: Shradha: Happy new year"
"1/1/17, 2:35:30 PM:  Emma: Wishing Everyone a great beginning to... ""twenty seventeen""..... feel twenty and look seventeen...."
"1/1/17, 2:37:06 PM: Juliet Daylon: Happy new year"
"1/1/17, 2:47:37 PM: Mary: Nice one Monica"
"1/1/17, 3:55:08 PM: James : it's right no reply for us but for Monica... Nice one Monica"
"1/1/17, 4:00:17 PM:  Emma: husband"
"2/1/17, 2:02:28 AM: Mary:wife"
"2/1/17, 2:05:04 AM: Mary: It was a really unique new year wish. Monica has come in the category of  ben and Emily"
"2/1/17, 10:09:05 AM: James : Because once mother-in-law was daughter-in-law"
"2/1/17, 11:06:37 AM:  Emma: Still 23 days left only"
"2/1/17, 1:28:12 PM: Ben: hey"
"8/1/17, 8:27:36 PM: Theresa: So be it"
"8/1/17, 5:17:40 PM: James : Hi all Just type , don't send   You can view the DP   of all members of the group Try it.... it's an amazing feature"
"8/1/17, 5:20:22 PM: Ben: Wow"
"8/1/17, 5:20:28 PM: Ben: Really cool"
"8/1/17, 5:20:43 PM: Ben: Monica looks very pretty"
"8/1/17, 5:22:03 PM: Ben: James whose dp were you looking at"
"8/1/17, 5:39:24 PM:  Emma: James Is a good boy"
"8/1/17, 5:39:34 PM:  Emma: Thanku Ben"
"8/1/17, 5:58:30 PM: James: Nice"
"8/1/17, 5:58:32 PM: James: Alive"
"10/1/17, 5:59:20 PM: James: David's future is being written now Monica in pant and shirt kilogram"
"10/1/17, 5:59:26 PM: James: Carol is looking at you"
"10/1/17, 6:06:03 PM: Ben: Really But who is Carol"
"10/1/17, 6:06:18 PM: Rose:Dogs are heaven"
"10/1/17, 6:07:09 PM: James:drumstick"
"10/1/17, 6:07:26 PM: James: you where dumbstruck after watching the Dp"
"10/1/17, 6:10:32 PM: Ben: Oh I see"
"10/1/17, 8:54:37 PM: Ben:guys"
"10/1/17, 9:17:44 PM:  Mathew Simon: Hi"
"11/1/17, 2:30:16 AM: Rose changed the subject to Happy bday"
"11/1/17, 1:52:37 AM: Mary: Nice1 James"
"11/1/17, 2:30:40 AM: Rose: Happy birthday. God bless you"
"11/1/17, 2:31:28 AM: Anna John: Happy birthday"
"11/1/17, 2:31:36 AM: Juliet Daylon: Happy bday"
"11/1/17, 2:32:16 AM: Hazel: Happy bday James"
"11/1/17, 2:32:27 AM: James: Ohh thank you guy"
"11/1/17, 2:32:55 AM: Theresa: Happy bday"
"11/1/17, 2:33:11 AM: Pole: Happy birthday Bhai.."
"11/1/17, 2:33:13 AM: Theresa: Red"
"11/1/17, 2:33:21 AM: Ben: Happy birthday"
"11/1/17, 2:33:23 AM: James: Thanks guys"
"11/1/17, 2:33:34 AM: Ben: Now I can go to sleep"
"11/1/17, 2:33:34 AM: James: Ohh damn all awake"
"11/1/17, 2:33:47 AM: James: My god I'm delighted"
"11/1/17, 2:33:54 AM: Ben: Yes we were up to wish you"
"11/1/17, 2:34:21 AM: Ben: Hope we will get the party now"
"11/1/17, 2:34:33 AM: James: Yeah full on"
"11/1/17, 2:34:42 AM: Ben:Cocaine"
"11/1/17, 2:34:46 AM: Ben: Have fun"
"11/1/17, 2:35:00 AM: James: Yeh thanks"
"11/1/17, 2:35:06 AM: Ben: Stuff"
"11/1/17, 2:35:09 AM: Sakshi: Wish u a very happy birthday"
"11/1/17, 2:35:11 AM: Sakshi:Peace"
"11/1/17, 2:36:56 AM: James: Thanks"
